Name,Description,Logo_url
Quickbase,"See, connect, and effortlessly control every detail of even the most complex projects.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Quickbase-a28429ac-f4eb-44fe-9e56-080176ca6a50.png
Podia,"Get a free website, host a community for free, or sell courses and digital products. ",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Podia-6e37fdf2-a99a-46a8-bcca-1eba73337477.png
Getform,Getform lets you build workflows using your submission data. ,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Getform-0270835a-2721-45e8-b751-97a114308855.png
Parabola,"Parabola is your toolkit for faster, smarter work. Automate any manual task you usually do in a spreadsheet.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Parabola-ccc4becc-9cb7-4514-b252-c75df0957888.png
Construct,Create games in Construct 3. Cutting-edge technology that runs right inside your browser like magic.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Construct-a5a1b351-ce4b-483b-8bf1-6e77d799bbf4.png
Coupler.io,"Let Coupler.io automatically sync information between apps to create live dashboards and reports, transform and manipulate values, collect and back up insights in one place, and more.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Coupler.io-b073020b-9232-4167-ad41-63019c0f45df.png
Parseur,"Automate text extraction from emails, PDFs and other documents using our powerful data entry software.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Parseur-6f6b4cf4-9a51-4562-9c5e-927c6008fb74.png
Stacker,"Build custom software that empowers your partners, teammates and customers.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Stacker-7afae68b-2ea4-4d4c-b966-892260f1814b.png
Notion,"Notion is an all-in-one workspace for teams. It is one of the excellent tools that people use for various projects, from educational school projects to project management and business automation. Notion is a powerful tool for team collaboration, managing projects, tasks, customer support, Notes, organizing processes, information exchange, etc.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Notion-b43be3e3-bb90-417d-80dd-52849063cc8e.png
HighGear,"Easily design, automate and manage custom workflow applications without coding.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/HighGear-3da0d643-b2c5-490f-886d-28619a7551b3.png
